epoch,residual
480,0.00608068
481,0.00607474
482,0.00606863
483,0.00606266
484,0.00605652
485,0.00605048
486,0.00604437
487,0.00603817
488,0.00603223
489,0.0060257
490,0.00602013
491,0.00601306
492,0.0060081
493,0.00600026
494,0.00599611
495,0.00598734
496,0.00598409
497,0.00597448
498,0.00597169
499,0.00596233
500,0.00595774
501,0.00595301
502,0.00593849
503,0.00595287
504,0.00590356
505,0.0059783
506,0.00582817
507,0.00606576
508,0.00590881
509,0.0065306
510,0.00879449
511,0.00930019
512,0.0147841
513,0.0163372
514,0.0240648
515,0.0255708
516,0.0323078
517,0.0293461
518,0.0276859
519,0.0358486
520,0.055435
521,0.115342
522,0.16696
523,0.185222
524,0.103137
525,0.0350482
526,0.0313366
527,0.0135105
528,0.0154464
529,0.0133861
530,0.00892582
531,0.006272
532,0.00806239
533,0.00665441
534,0.00608489
535,0.00609066
536,0.00554637
537,0.00528867
538,0.00515246
539,0.00490013
540,0.00470137
541,0.00455787
542,0.00439933
543,0.00438057
544,0.00436984
545,0.00435267
546,0.00437956
547,0.00441167
548,0.00443997
549,0.00446678
550,0.0044897
551,0.00451128
552,0.00452988
553,0.00454707
554,0.00456187
555,0.00457543
556,0.00458698
557,0.00459747
558,0.00460629
559,0.00461419
560,0.00462071
561,0.00462643
562,0.00463102
563,0.00463491
564,0.00463788
565,0.00464024
566,0.00464185
567,0.00464295
568,0.00464342
569,0.00464346
570,0.00464299
571,0.00464215
572,0.00464089
573,0.00463932
574,0.00463742
575,0.00463525
576,0.0046328
577,0.00463013
578,0.00462725
579,0.00462417
580,0.00462091
581,0.00461749
582,0.00461393
583,0.00461024
584,0.00460642
585,0.0046025
586,0.00459847
587,0.00459436
588,0.00459016
589,0.00458588
590,0.00458154
591,0.00457713
592,0.00457266
593,0.00456814
594,0.00456357
595,0.00455895
596,0.00455429
597,0.00454959
598,0.00454485
599,0.00454008
600,0.00453527
601,0.00453043
602,0.00452557
603,0.00452067
604,0.00451575
605,0.0045108
606,0.00450582
607,0.00450082
608,0.0044958
609,0.00449076
610,0.00448569
611,0.0044806
612,0.00447548
613,0.00447036
614,0.0044652
615,0.00446002
616,0.00445484
617,0.00444961
618,0.00444439
619,0.00443911
620,0.00443387
621,0.00442853
622,0.00442325
623,0.0044179
624,0.00441253
625,0.0044072
626,0.00440171
627,0.00439645
628,0.00439079
629,0.00438562
630,0.00437982
631,0.00437463
632,0.00436889
633,0.00436338
634,0.00435813
635,0.00435175
636,0.00434762
637,0.00433973
638,0.00433721
639,0.00432767
640,0.0043263
641,0.0043165
642,0.00431356
643,0.00430793
644,0.00429701
645,0.00430406
646,0.00427476
647,0.00430599
648,0.00424716
649,0.00431101
650,0.00422035
651,0.00430839
652,0.00421068
653,0.00427559
654,0.00459489
655,0.00493425
656,0.00685785
657,0.00660982
658,0.010487
659,0.00970825
660,0.0138128
661,0.0108342
662,0.0122758
663,0.0191289
664,0.0314171
665,0.0666447
666,0.103991
667,0.146107
668,0.144524
669,0.0836706
670,0.0752465
671,0.0600573
672,0.0349556
673,0.0215661
674,0.00652092
675,0.0118549
676,0.00675644
677,0.00737636
678,0.00653822
679,0.00525682
680,0.00486855
681,0.00408949
682,0.00386989
683,0.00340516
684,0.00339422
685,0.00305738
686,0.00315779
687,0.00291782
688,0.0030233
689,0.00300731
690,0.00307639
691,0.0030719
692,0.00312111
693,0.00311733
694,0.00315332
695,0.00314935
696,0.0031753
697,0.00317142
698,0.0031895
699,0.00318585
700,0.00319787
701,0.00319446
702,0.00320186
703,0.00319867
704,0.00320258
705,0.00319956
706,0.00320084
707,0.00319796
708,0.00319729
709,0.00319448
710,0.00319241
711,0.00318959
712,0.00318654
713,0.00318363
714,0.00317995
715,0.00317686
716,0.00317283
717,0.00316949
718,0.00316532
719,0.00316165
720,0.00315749
721,0.00315348
722,0.00314941
723,0.00314508
724,0.0031411
725,0.00313651
726,0.00313257
727,0.00312785
728,0.00312383
729,0.00311913
730,0.00311489
731,0.00311038
732,0.00310577
733,0.00310159
734,0.00309652
735,0.00309269
736,0.00308724
737,0.0030836
738,0.00307804
739,0.00307419
740,0.00306904
741,0.00306438
742,0.0030603
743,0.00305414
744,0.00305176
745,0.00304368
746,0.00304308
747,0.0030335
748,0.00303357
749,0.00302445
750,0.00302222
751,0.00301763
752,0.00300803
753,0.00301378
754,0.00299072
755,0.00301234
756,0.00297216
757,0.00300966
758,0.00295819
759,0.00299729
760,0.00296016
761,0.00296111
762,0.00299431
763,0.00298963
764,0.00312719
765,0.00309482
766,0.00346385
767,0.00314049
768,0.00336235
769,0.00288443
770,0.00381766
771,0.00504388
772,0.00682938
773,0.0125355
774,0.0169032
775,0.0269175
776,0.0341258
777,0.0448
778,0.0487088
779,0.0510169
780,0.0554341
781,0.0751332
782,0.119801
783,0.119453
784,0.123999
785,0.0822743
786,0.024592
787,0.0192231
788,0.0154012
789,0.0156276
790,0.013281
791,0.0101214
792,0.0059012
793,0.00508682
794,0.0031514
795,0.00346925
796,0.00270297
797,0.00270112
798,0.00245208
799,0.00216502
800,0.00223905
801,0.00206616
802,0.00212217
803,0.00206705
804,0.00205737
805,0.00206643
806,0.00203877
807,0.0020709
808,0.0020493
809,0.0020929
810,0.002072
811,0.00210588
812,0.0020869
813,0.00211252
814,0.00209525
815,0.00211478
816,0.00209909
817,0.00211405
818,0.00209983
819,0.0021113
820,0.00209845
821,0.00210718
822,0.00209564
823,0.00210215
824,0.00209185
825,0.00209649
826,0.00208741
827,0.00209043
828,0.00208252
829,0.00208408
830,0.00207733
831,0.00207754
832,0.00207193
833,0.00207087
834,0.00206637
835,0.00206413
836,0.00206067
837,0.00205735
838,0.00205483
839,0.00205059
840,0.00204884
841,0.0020439
842,0.00204265
843,0.00203734
844,0.00203621
845,0.00203098
846,0.00202946
847,0.00202487
848,0.00202236
849,0.00201906
850,0.00201489
851,0.00201351
852,0.00200715
853,0.00200808
854,0.00199935
855,0.00200245
856,0.00199195
857,0.00199604
858,0.00198566
859,0.00198797
860,0.00198149
861,0.00197717
862,0.00198052
863,0.00196266
864,0.00198343
865,0.00194434
866,0.00198939
867,0.00192444
868,0.00199416
869,0.00190997
870,0.00198715
871,0.00191591
872,0.00194815
873,0.00196827
874,0.00185668
875,0.00210365
876,0.00223039
877,0.00247502
878,0.00286494
879,0.00302888
880,0.00385365
881,0.00375764
882,0.0049211
883,0.004229
884,0.00502652
885,0.00496911
886,0.00853871
887,0.0142398
888,0.0205096
889,0.0335535
890,0.0486951
891,0.0687756
892,0.0823033
893,0.0878611
894,0.0800788
895,0.0473308
896,0.0779718
897,0.0749268
898,0.0674132
899,0.0503343
900,0.0361447
901,0.0267199
902,0.0204425
903,0.0168168
904,0.014976
905,0.0127906
906,0.0112503
907,0.00970354
908,0.00819458
909,0.00731029
910,0.00607767
911,0.00568089
912,0.00473436
913,0.00457257
914,0.00402244
915,0.00377407
916,0.00351176
917,0.00317376
918,0.00311392
919,0.00276728
920,0.00281904
921,0.00253421
922,0.00260965
923,0.00235262
924,0.00243157
925,0.00219693
926,0.00227501
927,0.00210289
928,0.00213263
929,0.00202118
930,0.00199892
931,0.00194294
932,0.00187971
933,0.0018664
934,0.00181991
935,0.00179054
936,0.00176235
937,0.00171527
938,0.00175047
939,0.00170235
940,0.00173698
941,0.00171458
942,0.00174907
943,0.00172795
944,0.00179661
945,0.00175874
946,0.00182273
947,0.00177748
948,0.00181567
949,0.00177033
950,0.00176117
951,0.00176514
952,0.00167127
953,0.00175587
954,0.00168618
955,0.00192639
956,0.00191241
957,0.00221261
958,0.00236778
959,0.00251386
960,0.00280942
961,0.0028243
962,0.00312003
963,0.00296503
964,0.00300307
965,0.00259265
966,0.00291449
967,0.0042736
968,0.00610183
969,0.00891154
970,0.011756
971,0.0161644
972,0.0216236
973,0.028468
974,0.0343941
975,0.0413094
976,0.042945
977,0.0422559
978,0.0425808
979,0.0444622
980,0.0792915
981,0.085191
982,0.0991512
983,0.0823785
984,0.0645705
985,0.042981
986,0.0284325
987,0.0228796
988,0.0228301
989,0.0212466
990,0.0201116
991,0.0172814
992,0.0152521
993,0.0129032
994,0.0115577
995,0.0100719
996,0.0092682
997,0.00822998
998,0.00767193
999,0.00694529
